ID	TIPO	CHEGADA	TEMPO_ESPERA	TEMPO_SERVICO	SAIDA	PASSO	SERVIDOR
1	REGULAR	0,00097	0,00000	0,00055	0,00152	AppServerRequest	AppServerRequest1
1	REGULAR	0,00152	0,00000	0,00366	0,00517	AppServerResponse	AppServerResponse1
2	REGULAR	0,00308	0,00000	0,00080	0,00388	AppServerRequest	AppServerRequest1
2	REGULAR	0,00388	0,00129	0,00154	0,00671	AppServerResponse	AppServerResponse1
3	COMPLEXA	0,00412	0,00000	0,00010	0,00423	AppServerRequest	AppServerRequest1
3	COMPLEXA	0,00423	0,00248	0,00308	0,00979	AppServerResponse	AppServerResponse1
4	REGULAR	0,00484	0,00000	0,00502	0,00986	AppServerRequest	AppServerRequest1
4	REGULAR	0,00986	0,00000	0,01066	0,02052	AppServerResponse	AppServerResponse1
5	REGULAR	0,00505	0,00481	0,01034	0,02020	AppServerRequest	AppServerRequest1
5	REGULAR	0,02020	0,00512	0,02674	0,05206	AppServerResponse	AppServerResponse1
6	COMPLEXA	0,00747	0,01273	0,00158	0,02178	AppServerRequest	AppServerRequest1
6	COMPLEXA	0,02178	0,04301	0,00477	0,06957	AppServerResponse	AppServerResponse1
7	COMPLEXA	0,01006	0,01172	0,00430	0,02608	AppServerRequest	AppServerRequest1
7	COMPLEXA	0,02608	0,05521	0,00462	0,08591	AppServerResponse	AppServerResponse1
8	REGULAR	0,01243	0,01365	0,00926	0,03534	AppServerRequest	AppServerRequest1
8	REGULAR	0,03534	0,06421	0,00944	0,10899	AppServerResponse	AppServerResponse1
9	SIMPLES	0,01305	0,02229	0,00115	0,03649	AppServerRequest	AppServerRequest1
9	SIMPLES	0,03649	0,09479	0,00776	0,13904	AppServerResponse	AppServerResponse1
10	REGULAR	0,01328	0,02321	0,00898	0,04547	AppServerRequest	AppServerRequest1
10	REGULAR	0,04547	0,11679	0,01892	0,18117	AppServerResponse	AppServerResponse1
11	REGULAR	0,01338	0,03209	0,00329	0,04875	AppServerRequest	AppServerRequest1
11	REGULAR	0,04875	0,16451	0,00453	0,21779	AppServerResponse	AppServerResponse1
12	REGULAR	0,01458	0,03418	0,01314	0,06189	AppServerRequest	AppServerRequest1
12	REGULAR	0,06189	0,19008	0,03266	0,28463	AppServerResponse	AppServerResponse1
13	SIMPLES	0,01463	0,04726	0,00182	0,06371	AppServerRequest	AppServerRequest1
13	SIMPLES	0,06371	0,26818	0,00432	0,33621	AppServerResponse	AppServerResponse1
